Entry,Source MAC,Destination MAC,L2 Type,IP Version,IHL,TOS,Length,Identifier,Flags,Fragment,TTL,Protocol,Checksum,L3 Options,Source IP,Destination IP,Transport,Source Port,Destination Port,Sequence,Acknowledgement,Offset,Reserved,Flags,Window,Transport Checksum,Urgent Pointer,L4 Options,
0,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,29,32521,,0,255,1,0,[],10.10.2.10,10.10.1.20,,,,,,,,,,,,,
1,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,75,34027,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3657683288,3797762870,5,0,PA,8195,Not Applicable,6019,0,[]
2,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,0,34028,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3657683323,3797762870,5,0,PA,8195,Not Applicable,5964,0,[]
3,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,16910,A,0,63,6,57980,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3657683323,5,0,A,10033,Not Applicable,42458,0,[]
4,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,502,34030,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3657684846,3797762870,5,0,PA,8195,Not Applicable,6446,0,[]
5,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,16911,A,0,63,6,57979,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3657684783,5,0,A,10033,Not Applicable,40998,0,[]
6,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,16912,A,0,63,6,57978,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3657684846,5,0,A,10033,Not Applicable,40935,0,[]
7,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,16913,A,0,63,6,57977,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3657685308,5,0,A,10033,Not Applicable,40473,0,[]
8,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,16913,A,0,63,6,57977,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3657685308,5,0,A,10033,Not Applicable,40473,0,[]
9,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,29,32522,,0,255,1,0,[],10.10.2.10,10.10.1.20,TCP,9997,54114,3797762870,3657685308,5,0,,10033,Not Applicable,40473,0,[]
10,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,29,32522,,0,255,1,0,[],10.10.2.10,10.10.1.20,TCP,9997,54114,3797762870,3657685308,5,0,,10033,Not Applicable,40473,0,[]
11,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,29,32523,,0,255,1,0,[],10.10.2.10,10.10.1.20,TCP,9997,54114,3797762870,3657685308,5,0,,10033,Not Applicable,40473,0,[]
12,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2054,4,5,0,29,32523,,0,255,1,0,[],10.10.2.10,10.10.1.20,TCP,9997,54114,3797762870,3657685308,5,0,,10033,Not Applicable,40473,0,[]
13,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2054,4,5,0,29,32523,,0,255,1,0,[],10.10.2.10,10.10.1.20,TCP,9997,54114,3797762870,3657685308,5,0,,10033,Not Applicable,40473,0,[]
14,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2054,4,5,0,29,32523,,0,255,1,0,[],10.10.2.10,10.10.1.20,TCP,9997,54114,3797762870,3657685308,5,0,,10033,Not Applicable,40473,0,[]
